#EEG-Jahresmeldung
#generiert am: 25.10.2022  14:54:38  manuell
#===================
##CSVTyp: EEGJahresmeldung
##Firma: 10009980 - EEG-Data Netz GmbH
##Netzgebiet: 01
##Jahr: 2022
##Monat: 14
##Email: artur.jaworski@capgemini.com
#
#Stammdaten EEG-Förderung
#Sektion|Anlagenschlüssel|EEG-MaStR-Nr|Anschrift|PLZ|Ort|Bundesland|Energieträger|Inbetriebnahmedatum|Netzzugangsdatum|Netzabgangsdatum|Außerbetriebnahmedatum|Installierte Leistung|Leistungsmessung|Regelbarkeit|Spannungsebene|Messlokations-ID|Anlagentyp|nördliche Breite Grad|nördliche Breite Bogenminuten|nördliche Breite Bogensekunden|östliche Länge Grad|östliche Länge Bogenminuten|östliche Länge Bogensekunden|Schalloptimierung|Biomasse KWK-Bonus|Biomasse Technologie-Bonus
S|E2063901DE00011521244190007830001||Ritscherstraße 22|21244|Buchholz i.d.N.|N|85|29.11.2006|29.11.2021|||1.560,000|3|4|SpE05|DE00011521244ESM00000000000000053|Biomasse|||||||0|2|2
S|E2063901DE00011521244190008230005||Ritscherstraße 4|21244|Buchholz i.d.N.|N|85|13.12.2011|01.09.2012|||1.165,000|1|1|SpE05|DE00011521244ESM00000000000000055|Biomasse|||||||0|0|0
S|E2063901DE00011521244190008230006||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2021||||20,000|1|1|SpE05|DE00011521244ESM00000000000000055|MSZ-Anlage|||||||0|0|0
S|E2063901DE00011521244190008230007||Ritscherstraße 4|21244|Buchholz i.d.N.|N|87|13.12.2021||||65,000|1|1|SpE05|DE00011521244ESM00000000000000055|MSZ-Anlage|||||||0|0|0
S|E2063901DE00011521244190008230008||Ritscherstraße 4|21244|Buchholz i.d.N.|N|81|13.12.2000||||65,000|1|1|SpE05|DE00011521244ESM00000000000000055|MSZ-Anlage|||||||0|0|0
S|E2063901DE00011521244190008230009||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2011||||60,000|1|1|SpE05|DE00011521244ESM00000000000000055|SV-Anlage|||||||0|0|0
S|E2000269E000000000010104472100000||Ritscherstraße 4|21244|Buchholz i.d.N.|N|85|13.12.2014||||65,000|1|1|SpE05|DE00011521244ESM00000000000000055|SV-Anlage|||||||0|0|0
S|E270640100001011950200BIOB0100001||Ritscherstraße 4|21244|Buchholz i.d.N.|N|85|13.12.2014||||65,000|1|1|SpE05|||||||||0|0|0
S|E2079301EA03000000000068557900003||Ritscherstraße 4|21244|Buchholz i.d.N.|N|85|13.12.2014||||65,000|1|1|SpE05|||||||||0|0|0
S|E2011401EBIOM00000009000000600001||Ritscherstraße 4|21244|Buchholz i.d.N.|N|85|13.12.2014||||750,001|1|1|SpE05|||||||||0|0|0
S|E2063901DE00011521244190008230MSZ||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2021||||20,000|1|1|SpE05|DE00011521244ESM00000000000000055|MSZ-Anlage|||||||0|0|0
S|E2063901DE000115212441900ausgefSo||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2000||||60,000|3|1|SpE05|DE00011521244ESM00000000000000055|ausgefördert|||||||0|0|0
S|E2063901DE00011521244190007GKA-Bi|EEG980864057481|Ritscherstraße 22|21244|Buchholz i.d.N.|N|85|29.11.2000||||150,001|3|4|SpE05||Güllekleinanlage nach EEV|||||||0|0|0
S|E2063901DE000115212441900ausgefWi|EEG925560506628|Ritscherstraße 22|21244|Buchholz i.d.N.|N|87|29.11.2000||||150,010|3|4|SpE05||ausgefördert|||||||0|0|0
S|E2063901DE000115212441900082300Wa||Ritscherstraße 4|21244|Buchholz i.d.N.|N|81|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300De||Ritscherstraße 4|21244|Buchholz i.d.N.|N|82|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300Kl||Ritscherstraße 4|21244|Buchholz i.d.N.|N|83|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300Gr||Ritscherstraße 4|21244|Buchholz i.d.N.|N|84|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300Ga||Ritscherstraße 4|21244|Buchholz i.d.N.|N|83|13.12.2002||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300Ge||Ritscherstraße 4|21244|Buchholz i.d.N.|N|86|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300Wi||Ritscherstraße 4|21244|Buchholz i.d.N.|N|87|13.12.2002||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055|Wind|||||||0|0|0
S|E2063901DE000115212441900082300Wr||Ritscherstraße 4|21244|Buchholz i.d.N.|N|87|13.12.2009||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055|Wind Repower|||||||0|0|0
S|E2063901DE000115212441900082300Wn||Ritscherstraße 4|21244|Buchholz i.d.N.|N|87|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300Wf||Ritscherstraße 4|21244|Buchholz i.d.N.|N|88|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300So||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055|Freifläche|||||||0|0|0
S|E2063901DE000115212441900082300Sg||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2021||||50,000|2|2|SpE05|DE00011521244ESM00000000000000055|Gebäude MSZ|||||||0|0|0
S|E2063901DE000115212441900082300SV||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2011||||50,000|2|2|SpE05|DE00011521244ESM00000000000000055|Gebäude Selbstverbrauch|||||||0|0|0
S|E2063901DE00011521244190008230PSB||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2022||||850,000|1|1|SpE05|DE00011521244ESM00000000000000056|Ausschreibung PSB|||||||0|0|0
S|E2063901DE000115212441900078300Bi||Ritscherstraße 22|21244|Buchholz i.d.N.|N|85|13.12.2021|14.12.2021|||1.560,000|3|4|SpE05|DE00011521244ESM00000000000000053|Biomasse|||||||0|2|2
#Bewegungsdaten EEG-Förderung
#Sektion|Anlagenschlüssel|Kategorie|Sachverhalt|Monat|Energiemenge|Vergütung
B|E2063901DE000115212441900082300SV|SgK171-------0|FVG||111,111|0,00
B|E2063901DE000115212441900082300SV|SgK-ap------FG|FVG||1.000,000|11,11
B|E2063901DE000115212441900082300SV|SgK2522-----MW|FVG||22,222|2,22
B|E2063901DE000115212441900082300SV|SgK33a2-----SV|FVG||1.000,000|0,00
B|E2063901DE000115212441900082300SV|SgK33410----11|FVG||1.000,000|287,40
B|E2063901DE000115212441900082300SV|SgK33420----11|FVG||-300,000|-49,14
B|E2063901DE000115212441900082300SV|SgK33430----11|FVG||-700,000|-84,00
B|E2063901DE00011521244190007GKA-Bi|BiK12cEEV---01|FVG||1.000,000|10,00
B|E2063901DE000115212441900ausgefSo|SoK23b1iMS-aMW|FVG||1.000,000|73,52
B|E2063901DE000115212441900ausgefSo|SoK23b1----aMW|FVG||1.000,000|71,52
B|E2063901DE000115212441900082300So|SoK63-------FB|FVG||0,000|1.000,11
B|E2063901DE000115212441900082300Wn|WnK62-------FB|FVG||0,000|2.000,22
B|E2063901DE000115212441900082300Wa|WaK400------21|FVG||1.000,000|119,50
B|E2063901DE000115212441900082300De|DeK4111-----21|FVG||1.000,000|74,90
B|E2063901DE000115212441900082300Kl|KlK4121-----21|FVG||1.000,000|59,10
B|E2063901DE000115212441900082300Gr|GrK4131-----21|FVG||1.000,000|59,60
B|E2063901DE000115212441900082300Ga|GaK41a------02|FVG||1.000,000|76,70
B|E2063901DE000115212441900082300Ge|GeK450------21|FVG||1.000,000|250,00
B|E2063901DE000115212441900082300Wi|WiK71a------02|FVG||1.000,000|90,00
B|E2063901DE000115212441900082300Wr|WrK300------09|FVG||1.000,000|97,00
B|E2063901DE000115212441900082300Wn|WnK46-------21|FVG||1.000,000|83,00
B|E2063901DE000115212441900082300Wf|WfK22-------AS|FVG||1.000,000|180,00
B|E2063901DE000115212441900082300So|SoK481---Dez21|FVG||1.000,000|47,50
B|E2063901DE000115212441900082300Sg|SgK4820--Dez21|FVG||1.000,000|69,30
B|E2063901DE000115212441900078300Bi|BiK420------21|FVG||1.000,000|126,00
B|E2063901DE000115212441900078300Bi|BiK2521-----MW|FVG||111,111|0,00
B|E2063901DE000115212441900078300Bi|BiK21----MW-AB|FVG||0,000|-4,44
B|E2063901DE000115212441900078300Bi|BiK23MSRV-FGAB|FVG||0,000|-142,00
B|E2063901DE000115212441900082300SV|SgK23MSRV-FGAB|FVG||0,000|-33,33
B|E2063901DE000115212441900082300Ga|GaK53c-----SSB|FVG||0,000|-77,77
B|E2063901DE000115212441900082300Wa|WaK400------21|DVM|1|1.000,000|68,68
B|E2063901DE000115212441900082300De|DeK4111-----21|DVM|1|1.000,000|24,08
B|E2063901DE000115212441900082300Kl|KlK4121-----21|DVM|1|1.000,000|8,28
B|E2063901DE000115212441900082300Gr|GrK4131-----21|DVM|1|1.000,000|8,78
B|E2063901DE000115212441900082300Ga|GaK41a------02|DVM|1|1.000,000|25,88
B|E2063901DE000115212441900082300Ge|GeK450------21|DVM|1|1.000,000|199,18
B|E2063901DE000115212441900082300Wi|WiK71a------02|DVM|1|1.000,000|47,55
B|E2063901DE000115212441900082300Wr|WrK300------09|DVM|1|1.000,000|54,55
B|E2063901DE000115212441900082300Wn|WnK46-------21|DVM|1|1.000,000|68,68
B|E2063901DE000115212441900082300Wf|WfK22-------AS|DVM|1|1.000,000|68,68
B|E2063901DE000115212441900082300So|SoK481---Dez21|DVM|1|1.000,000|-3,93
B|E2063901DE000115212441900082300Sg|SgK4820--Dez21|DVM|1|1.000,000|17,87
B|E2063901DE000115212441900078300Bi|BiK420------21|DVM|1|1.000,000|75,18
B|E2063901DE000115212441900082300Wa|WaK400------21|DVM|12|1.000,000|-99,56
B|E2063901DE000115212441900082300De|DeK4111-----21|DVM|12|1.000,000|-144,16
B|E2063901DE000115212441900082300Kl|KlK4121-----21|DVM|12|1.000,000|-159,96
B|E2063901DE000115212441900082300Gr|GrK4131-----21|DVM|12|1.000,000|-159,46
B|E2063901DE000115212441900082300Ga|GaK41a------02|DVM|12|1.000,000|-142,36
B|E2063901DE000115212441900082300Ge|GeK450------21|DVM|12|1.000,000|30,94
B|E2063901DE000115212441900082300Wi|WiK71a------02|DVM|12|1.000,000|-66,77
B|E2063901DE000115212441900082300Wr|WrK300------09|DVM|12|1.000,000|-59,77
B|E2063901DE000115212441900082300Wn|WnK46-------21|DVM|12|1.000,000|1,00
B|E2063901DE000115212441900082300Wf|WfK22-------AS|DVM|12|1.000,000|1,00
B|E2063901DE000115212441900082300So|SoK481---Dez21|DVM|12|1.000,000|-219,25
B|E2063901DE000115212441900082300Sg|SgK4820--Dez21|DVM|12|1.000,000|-197,45
B|E2063901DE000115212441900078300Bi|BiK420------21|DVM|12|1.000,000|-93,06
B|E2063901DE000115212441900078300Bi|BiK53------FLZ|DVM||0,000|1.111,11
B|E2063901DE00011521244190007GKA-Bi|BiK12cEEV---01|DVM|1|1.000,000|222,22
B|E2063901DE00011521244190007GKA-Bi|BiK54G-----FLP|DVM||1.000,000|2,22
B|E2063901DE000115212441900082300Wa|WaK33b3--SO-DV|DVM||333,330|0,00
B|E2063901DE000115212441900082300De|DeK33b3--SO-DV|DVM||333,330|0,00
B|E2063901DE000115212441900082300Kl|KlK33b3--SO-DV|DVM||333,330|0,00
B|E2063901DE000115212441900082300Gr|GrK33b3--SO-DV|DVM||333,330|0,00
B|E2063901DE000115212441900082300Ga|GaK33b3--SO-DV|DVM||333,330|0,00
B|E2063901DE000115212441900082300Ge|GeK33b3--SO-DV|DVM||333,330|0,00
B|E2063901DE000115212441900082300Wi|WiK33b3--SO-DV|DVM||333,330|0,00
B|E2063901DE000115212441900082300Wr|WrK33b3--SO-DV|DVM||333,330|0,00
B|E2063901DE000115212441900082300Wn|WnK33b3--SO-DV|DVM||333,330|0,00
B|E2063901DE000115212441900082300Wf|WfK33b3--SO-DV|DVM||333,330|0,00
B|E2063901DE000115212441900082300So|SoK33b3--SO-DV|DVM||333,330|0,00
B|E2063901DE000115212441900082300Sg|SgK33b3--SO-DV|DVM||333,330|0,00
B|E2063901DE000115212441900078300Bi|BiK33b3--SO-DV|DVM||333,330|0,00
B|E2063901DE000115212441900082300Wa|WaK23MSRVMPMAB|DVM||0,000|-22,22
B|E2063901DE000115212441900082300Wa|WaK53c-MPM-SSB|DVM||0,000|-33,33
B|E2063901DE000115212441900082300Wa|WaK53b--MPM-VZ|DVM||0,000|-11,11
B|E2063901DE000115212441900082300Wa|WaK400------21|AVG||111,111|10,80
B|E2063901DE000115212441900082300De|DeK4111-----21|AVG||111,111|6,83
B|E2063901DE000115212441900082300Kl|KlK4121-----21|AVG||111,111|5,43
B|E2063901DE000115212441900082300Gr|GrK4131-----21|AVG||111,111|5,48
B|E2063901DE000115212441900082300Ga|GaK41a------02|AVG||111,111|6,82
B|E2063901DE000115212441900082300Ge|GeK450------21|AVG||111,111|22,40
B|E2063901DE000115212441900082300Wi|WiK71a------02|AVG||111,111|8,00
B|E2063901DE000115212441900082300Wr|WrK300------09|AVG||111,111|8,62
B|E2063901DE000115212441900082300Wn|WnK46-------21|AVG||111,111|1,00
B|E2063901DE000115212441900082300Wf|WfK22-------AS|AVG||111,111|1,00
B|E2063901DE000115212441900082300So|SoK481---Dez21|AVG||111,111|4,58
B|E2063901DE000115212441900082300Sg|SgK4820--Dez21|AVG||111,111|6,51
B|E2063901DE000115212441900078300Bi|BiK420------21|AVG||111,111|11,38
B|E2063901DE000115212441900082300SV|SgK171-------0|AVG||111,111|0,00
B|E2063901DE000115212441900082300SV|SgK-ap------FG|AVG||1.000,000|11,11
B|E2063901DE000115212441900082300SV|SgK2522-----MW|AVG||200,000|20,00
B|E2063901DE000115212441900082300SV|SgK23MSRV-FGAB|AVG||0,000|-22,22
B|E2063901DE00011521244190008230MSZ|SgK48a0--Dez21|MSZ||100,000|3,25
B|E2063901DE00011521244190008230MSZ|SgK334-SV----0|MSZ||200,000|0,00
B|E2063901DE00011521244190008230MSZ|SgK23MSRVMSZAB|MSZ||0,000|-1,25
B|E2063901DE000115212441900082300Wa|Wa-vNNe--SpE05|VNE||0,000|-6,66
B|E2063901DE000115212441900082300De|De-vNNe--SpE05|VNE||0,000|-0,33
B|E2063901DE000115212441900082300Kl|Kl-vNNe--SpE05|VNE||0,000|-0,44
B|E2063901DE000115212441900082300Gr|Gr-vNNe--SpE05|VNE||0,000|-3,00
B|E2063901DE000115212441900082300Ga|Ga-vNNe--SpE05|VNE||0,000|-4,00
B|E2063901DE000115212441900082300Ge|Ge-vNNe--SpE05|VNE||0,000|-9,99
B|E2063901DE000115212441900082300Wi|Wi-vNNe--SpE05|VNE||0,000|0,00
B|E2063901DE000115212441900082300Wr|Wr-vNNe--SpE05|VNE||0,000|0,00
B|E2063901DE000115212441900082300Wn|Wn-vNNe--SpE05|VNE||0,000|0,00
B|E2063901DE000115212441900082300Wf|Wf-vNNe--SpE05|VNE||0,000|0,00
B|E2063901DE000115212441900082300So|So-vNNe--SpE05|VNE||0,000|0,00
B|E2063901DE000115212441900082300Sg|Sg-vNNe--SpE05|VNE||0,000|0,00
B|E2063901DE000115212441900078300Bi|Bi-vNNe--SpE05|VNE||0,000|-8,88
#Stammdaten EEG-Umlage auf Eigenversorgung
#Sektion|Anlagentyp|Anlagenschlüssel|SEE-MaStR-Nr|Anschrift|PLZ|Ort|Bundesland|Messlokations-ID|Inbetriebnahmedatum|Installierte Leistung|Energieträger
0|1|E2063901DE00011521244190008230019-1||Ritscherstraße 4|21244|Buchholz i.d.N.|N|DE00011521244ESM00000000000000055|13.12.2014|60,000|9
0|2|E2056801S160000000000001119300002||Irgendeine Straße|35510|Irgendwo|HE|DE0002026366700000000000000275559|19.08.2010|12,210|13
0|1|E2056801S160000000000001119300003||Irgendeine Straße|35510|Irgendwo|HE||19.08.2010|12,210|1
0|3|E2056801S160000000000001119300004||Irgendeine Straße|35510|Irgendwo|HE|DE0002026366700000000000000275559|19.08.2010|12,210|13
0|4|E2056801S160000000000001119300005||Irgendeine Straße|35510|Irgendwo|HE|DE0002026366700000000000000275559|19.08.2010|12,210|20
0|5|E2056801S160000000000001119300006||Irgendeine Straße|35510|Irgendwo|HE|DE0002026366700000000000000275559|19.08.2010|12,210|21
0|1|E2063901DE00011521244190008230019-2||Ritscherstraße 4|21244|Buchholz i.d.N.|N|DE00011521244ESM00000000000000055|23.12.2014|80,000|9
#Bewegungsdaten EEG-Umlage auf Eigenversorgung
#Sektion|Anlagentyp|Anlagenschlüssel|Jahr|Kategorie|Strommenge|Euro-Betrag|Bilanzkreis
1|1|E2063901DE00011521244190008230019-1|2014|EV6111-EEG-RED|11,110|-1,11|
1|1|E2063901DE00011521244190008230019-1|2014|EV61122-EEG100|22,220|-2,22|
1|1|E2063901DE00011521244190008230019-1|2015|EV6111-EEG-RED|33,330|-3,33|
1|1|E2063901DE00011521244190008230019-1|2015|EV61122-EEG100|44,440|-4,44|
1|1|E2063901DE00011521244190008230019-1|2016|EV6111-EEG-RED|55,550|-5,55|
1|1|E2063901DE00011521244190008230019-1|2016|EV61122-EEG100|66,660|-6,66|
1|1|E2063901DE00011521244190008230019-1|2017|EV6111-EEG-RED|77,770|-7,77|
1|1|E2063901DE00011521244190008230019-1|2017|EV61122-EEG100|88,880|-8,88|
1|1|E2063901DE00011521244190008230019-1|2017|EV61g2-EEG--20|99,990|-9,99|
1|1|E2063901DE00011521244190008230019-1|2017|SP61k1--AUS-EV|10,100|0,10|
1|1|E2063901DE00011521244190008230019-1|2017|SP61k2--AUS-EV|11,110|0,11|
1|1|E2063901DE00011521244190008230019-1|2018|EV6111-EEG-RED|12,120|-0,12|
1|1|E2063901DE00011521244190008230019-1|2018|EV61e1-2-EEG20|13,130|-0,13|
1|1|E2063901DE00011521244190008230019-1|2018|EV61122-EEG100|14,140|-0,14|
1|1|E2063901DE00011521244190008230019-1|2018|EV61g2-EEG--20|15,150|-0,15|
1|1|E2063901DE00011521244190008230019-1|2018|SP61k1--AUS-EV|16,160|0,16|
1|1|E2063901DE00011521244190008230019-1|2018|SP61k2--AUS-EV|17,170|0,17|
1|1|E2063901DE00011521244190008230019-1|2019|EV6111-EEG-RED|1,111|-0,11|
1|1|E2063901DE00011521244190008230019-1|2019|EV61e1-2-EEG20|2,222|-0,22|
1|1|E2063901DE00011521244190008230019-1|2019|EV61122-EEG100|3,333|-0,33|
1|1|E2063901DE00011521244190008230019-1|2019|EV61g2-EEG--20|4,444|-0,44|
1|1|E2063901DE00011521244190008230019-1|2019|SP61k1--AUS-EV|5,555|0,55|
1|1|E2063901DE00011521244190008230019-1|2019|SP61k2--AUS-EV|6,666|0,66|
1|1|E2063901DE00011521244190008230019-1|2020|EV6111-EEG-RED|11,111|-1,11|
1|1|E2063901DE00011521244190008230019-1|2020|EV61e1-2-EEG20|22,222|-2,22|
1|1|E2063901DE00011521244190008230019-1|2020|EV61122-EEG100|33,333|-3,33|
1|1|E2063901DE00011521244190008230019-1|2020|EV61g2-EEG--20|44,444|-4,44|
1|1|E2063901DE00011521244190008230019-1|2020|SP61k1--AUS-EV|55,555|5,55|
1|1|E2063901DE00011521244190008230019-1|2020|SP61k2--AUS-EV|66,666|6,66|
1|1|E2063901DE00011521244190008230019-1|2021|EV6111-EEG-RED|111,111|-11,11|
1|1|E2063901DE00011521244190008230019-1|2021|EV61e1-2-EEG20|222,222|-22,22|
1|1|E2063901DE00011521244190008230019-1|2021|EV61122-EEG100|333,333|-33,33|
1|1|E2063901DE00011521244190008230019-1|2021|EV61g2-EEG--20|444,444|-44,44|
1|1|E2063901DE00011521244190008230019-1|2021|SP61k1--AUS-EV|555,555|55,55|
1|1|E2063901DE00011521244190008230019-1|2021|SP61k2--AUS-EV|666,666|66,66|
1|1|E2063901DE00011521244190008230019-1|2022|EV6111-EEG-RED|111,111|-11,11|
1|1|E2063901DE00011521244190008230019-1|2022|EV61e1-2-EEG20|222,222|-22,22|
1|1|E2063901DE00011521244190008230019-1|2022|EV61122-EEG100|333,333|-33,33|
1|1|E2063901DE00011521244190008230019-1|2022|EV61g2-EEG--20|444,444|-44,44|
1|1|E2063901DE00011521244190008230019-1|2022|SP61k1--AUS-EV|555,555|55,55|
1|1|E2063901DE00011521244190008230019-1|2022|SP61k2--AUS-EV|666,666|66,66|
1|1|E2063901DE00011521244190008230019-1|2022|EV6124-EEG---0|8,888|0,00|
1|1|E2063901DE00011521244190008230019-1|2022|EV604-EEG-ZINS|0,000|-0,77|
1|2|E2056801S160000000000001119300002|2014|EV6111NEEG-RED|1.100,000|-110,00|
1|2|E2056801S160000000000001119300002|2014|EV61122NEEG100|200,000|-20,00|
1|2|E2056801S160000000000001119300002|2015|EV6111NEEG-RED|3.300,000|-330,00|
1|2|E2056801S160000000000001119300002|2015|EV61122NEEG100|400,000|-40,00|
1|2|E2056801S160000000000001119300002|2016|EV6111NEEG-RED|5.500,000|-550,00|
1|2|E2056801S160000000000001119300002|2016|EV61122NEEG100|600,000|-60,00|
1|2|E2056801S160000000000001119300002|2017|EV6111NEEG-RED|7.700,000|-770,00|
1|2|E2056801S160000000000001119300002|2017|EV61122NEEG100|800,000|-80,00|
1|2|E2056801S160000000000001119300002|2017|EV61g2-NEEG-20|900,000|-90,00|
1|2|E2056801S160000000000001119300002|2017|SP61k1--AUS-EV|1.000,000|10,00|
1|2|E2056801S160000000000001119300002|2017|SP61k2--AUS-EV|1.100,000|11,00|
1|2|E2056801S160000000000001119300002|2018|EV6111NEEG-RED|121.200,000|-1.212,00|
1|2|E2056801S160000000000001119300002|2018|EV61c2-HKWK160|7.777,777|-777,77|
1|2|E2056801S160000000000001119300002|2018|EV61e1-2NEEG20|1.300,000|-13,00|
1|2|E2056801S160000000000001119300002|2018|EV611--HKWK100|1.400,000|-14,00|
