Algorytm;Rozmiar;Czas [ms];Pamięć [MB]
ScannerCase;100mb;2,18;568,38
ScannerWithoutValidation;100mb;1,91;1 419,09
CSVReaderCase;100mb;1,81;486,54
BufferReaderWithoutValidation;100mb;1,33;551,43
FileReaderCase;100mb;1,29;1 660,94
FileReaderWithoutValidation;100mb;1,44;1 887,44
FilesLinesCase;100mb;1,26;1 761,61
FilesLinesWithoutValidation;100mb;1,24;1 803,55
CSVReaderWithoutValidation;100mb;1,98;1 287,78
BufferReaderCase;100mb;1,24;1 761,61
CSVReaderCase;250mb;4,16;1 325,40
BufferReaderCase;250mb;3,41;1 371,54
FileReaderCase;250mb;3,62;1 128,27
ScannerWithoutValidation;250mb;5,08;1 715,47
FilesLinesCase;250mb;3,44;1 165,63
ScannerCase;250mb;4,84;2 386,56
FilesLinesWithoutValidation;250mb;3,52;1 853,88
CSVReaderWithoutValidation;250mb;5,32;2 399,14
BufferReaderWithoutValidation;250mb;3,58;1 711,28
FileReaderWithoutValidation;250mb;3,87;2 227,18
BufferReaderCase;500mb;6,92;2 571,11
ScannerCase;500mb;10,02;2 529,17
FileReaderWithoutValidation;500mb;8,16;2 299,34
FilesLinesWithoutValidation;500mb;7,11;2 493,17
CSVReaderWithoutValidation;500mb;11,16;4 282,38
BufferReaderWithoutValidation;500mb;7,18;1 792,17
CSVReaderCase;500mb;8,59;1 091,54
ScannerWithoutValidation;500mb;10,45;2 991,24
FilesLinesCase;500mb;7,26;1 272,80
FileReaderCase;500mb;7,19;1 121,84
CSVReaderCase;1gb;17,88;3 746,57
ScannerCase;1gb;20,81;5 729,42
FileReaderCase;1gb;14,82;5 012,19
CSVReaderWithoutValidation;1gb;23,42;3 044,27
BufferReaderWithoutValidation;1gb;15,57;6 530,53
BufferReaderCase;1gb;14,66;5 293,21
FilesLinesWithoutValidation;1gb;15,59;6 417,29
FilesLinesCase;1gb;14,87;5 133,83
ScannerWithoutValidation;1gb;21,60;3 024,98
FileReaderWithoutValidation;1gb;17,47;6 778,00
BufferReaderCase;2gb;31,65;6 588,82
ScannerWithoutValidation;2gb;45,38;6 989,08
FilesLinesCase;2gb;31,79;2 370,90
