#manual tests
BufferReaderWithoutValidation;100MB;1.760;1.152;0.608;1.8
BufferReader;100MB;1.478;1.193;0.285;1.77
Scanner;100MB;1.799;0.899;0.900;2.26
FilesLines;100MB;1.644;1.093;0.551;1.77
FileReader;100MB;1.636;0.941;0.695;1.68
CSVReader;100MB;1.795;1.096;0.699;1.68
BufferReaderWithoutValidation;100MB;1.500;1.043;0.457;1.8
ScannerWithoutValidation;100MB;1.982;1.081;0.901;2.32
FilesLinesWithoutValidation;100MB;1.568;1.142;0.426;1.8
FileReaderWithoutValidation;100MB;1.636;1.036;0.600;1.9
CSVReaderWithoutValidation;100MB;2.113;0.953;1.160;2.84
BufferReaderWithoutValidation;100MB;1.590;1.024;0.566;1.82
BufferReader;100MB;1.410;0.948;0.462;1.77
Scanner;100MB;1.729;0.978;0.751;2.26
FilesLines;100MB;1.479;1.090;0.389;1.75
FileReader;100MB;1.688;1.077;0.611;1.68
CSVReader;100MB;1.733;1.003;0.730;1.68
BufferReaderWithoutValidation;100MB;1.615;1.017;0.598;1.82
ScannerWithoutValidation;100MB;1.898;0.988;0.329;0.557;2.26
FilesLinesWithoutValidation;100MB;1.615;1.060;0.555;1.82
FileReaderWithoutValidation;100MB;1.729;1.079;0.650;1.88
CSVReaderWithoutValidation;100MB;2.183;0.792;1.391;2.86
BufferReaderWithoutValidation;100MB;1.667;1.147;0.520;1.82
BufferReader;100MB;1.484;0.898;0.586;1.78
Scanner;100MB;1.705;0.968;0.737;2.25
FilesLines;100MB;1.505;1.021;0.484;1.75
FileReader;100MB;1.605;1.084;0.521;1.68
CSVReader;100MB;1.934;1.264;0.670;1.68
BufferReaderWithoutValidation;100MB;1.499;1.017;0.482;1.8
ScannerWithoutValidation;100MB;1.891;1.044;0.847;2.39
FilesLinesWithoutValidation;100MB;1.559;1.145;0.414;1.8
FileReaderWithoutValidation;100MB;1.764;1.048;0.716;1.88
CSVReaderWithoutValidation;100MB;2.051;0.942;1.109;2.86

BufferReaderWithoutValidation;250MB;3.712;2.571;1.141;4.5
BufferReader;250MB;3.371;2.381;0.990;4.37
Scanner;250MB;4.322;2.436;1.886;5.58
FilesLines;250MB;3.280;2.376;0.904;4.38
FileReader;250MB;3.589;2.393;1.196;4.13
CSVReader;250MB;4.096;2.330;1.766;4.16
BufferReaderWithoutValidation;250MB;3.341;2.147;1.194;4.5
ScannerWithoutValidation;250MB;4.292;2.476;1.816;5.71
FilesLinesWithoutValidation;250MB;3.384;2.528;0.856;4.38
FileReaderWithoutValidation;250MB;3.855;2.285;1.570;4.71
CSVReaderWithoutValidation;250MB;5.256;2.320;2.936;7.11
BufferReaderWithoutValidation;250MB;3.477;2.458;1.019;4.5
BufferReader;250MB;3.371;2.381;0.990;4.37
Scanner;250MB;4.241;2.433;1.808;5.59
FilesLines;250MB;3.297;2.163;1.129;4.38
FileReader;250MB;3.555;2.234;1.321;4.13
CSVReader;250MB;4.088;2.250;1.838;4.15
BufferReaderWithoutValidation;250MB;3.326;2.200;1.126;4.5
ScannerWithoutValidation;250MB;4.364;2.513;1.851;5.9
FilesLinesWithoutValidation;250MB;3.489;2.276;1.213;4.5
FileReaderWithoutValidation;250MB;3.790;2.262;1.528;4.71
CSVReaderWithoutValidation;250MB;5.349;2.477;2.872;7.1
BufferReaderWithoutValidation;250MB;3.331;2.314;1.017;4.5
BufferReader;250MB;3.363;2.339;1.024;4.38
Scanner;250MB;4.294;2.426;1.868;5.58
FilesLines;250MB;3.321;2.337;0.984;4.38
FileReader;250MB;3.612;2.385;1.227;4.13
CSVReader;250MB;4.039;2.285;1.754;4.16
BufferReaderWithoutValidation;250MB;3.454;2.203;1.251;4.51
ScannerWithoutValidation;250MB;4.484;2.513;1.971;5.89
FilesLinesWithoutValidation;250MB;3.485;2.280;1.178;4.5
FileReaderWithoutValidation;250MB;3.394;2.288;3.106;4.73
CSVReaderWithoutValidation;250MB;5.428;2.302;3.126;7.1

BufferReaderWithoutValidation;500MB;7.197;4.915;2.282;8.96
BufferReader;500MB;6.581;4.841;1.740;8.75
Scanner;500MB;8.480;4.742;3.738;11.14
FilesLines;500MB;6.670;4.751;1.919;8.75
FileReader;500MB;7.201;4.688;2.513;8.24
CSVReader;500MB;8.157;4.530;3.627;8.3
BufferReaderWithoutValidation;500MB;6.697;4.743;1.954;8.96
ScannerWithoutValidation;500MB;8.325;4.588;3.737;11.37
FilesLinesWithoutValidation;500MB;6.977;4.718;2.259;8.95
FileReaderWithoutValidation;500MB;7.659;4.722;2.937;9.39
CSVReaderWithoutValidation;500MB;10.566;4.650;5.916;14.18
BufferReaderWithoutValidation;500MB;6.724;4.580;2.144;8.96
BufferReader;500MB;6.579;4.859;1.720;8.75
Scanner;500MB;8.457;4.664;3.793;11.14
FilesLines;500MB;6.554;4.756;1.798;8.75
FileReader;500MB;7.648;4.745;2.903;8.24
CSVReader;500MB;8.233;4.718;3.515;8.29
BufferReaderWithoutValidation;500MB;6.701;4.474;2.227;8.96
ScannerWithoutValidation;500MB;8.841;4.986;3.855;11.37
FilesLinesWithoutValidation;500MB;6.708;4.484;2.224;8.97
FileReaderWithoutValidation;500MB;7.547;4.646;2.901;9.38
CSVReaderWithoutValidation;500MB;10.378;4.755;5.623;14.16
BufferReaderWithoutValidation;500MB;6.802;4.662;2.140;8.96
BufferReader;500MB;6.534;4.737;1.797;8.75
Scanner;500MB;8.310;4.620;3.690;11.14
FilesLines;500MB;6.808;4.574;2.234;8.75
FileReader;500MB;8.121;4.994;3.127;8.24
CSVReader;500MB;8.214;4.466;3.748;8.3
BufferReaderWithoutValidation;500MB;6.825;4.849;1.976;8.95
ScannerWithoutValidation;500MB;8.461;4.752;3.709;11.76
FilesLinesWithoutValidation;500MB;6.661;4.749;1.912;8.95
FileReaderWithoutValidation;500MB;7.532;5.055;2.477;9.38
CSVReaderWithoutValidation;500MB;10.676;4.929;5.747;14.17

BufferReaderWithoutValidation;1GB;14.715;10.302;4.413;17.9
BufferReader;1GB;13.910;10.501;3.409;17.49
Scanner;1GB;16.561;9.431;7.130;22.26
FilesLines;1GB;13.539;9.597;3.942;17.45
FileReader;1GB;15.083;10.585;4.498;16.49
CSVReader;1GB;16.985;9.835;7.150;16.58
BufferReaderWithoutValidation;1GB;14.288;10.256;4.032;17.9
ScannerWithoutValidation;1GB;18.208;10.813;7.395;22.72
FilesLinesWithoutValidation;1GB;14.296;9.903;4.393;17.91
FileReaderWithoutValidation;1GB;16.597;10.163;6.434;18.75
CSVReaderWithoutValidation;1GB;21.913;10.110;11.803;28.31
BufferReaderWithoutValidation;1GB;14.001;10.324;3.677;17.9
BufferReader;1GB;13.425;9.958;3.467;17.49
Scanner;1GB;17.189;10.236;6.953;22.31
FilesLines;1GB;14.298;9.966;4.332;17.49
FileReader;1GB;14.431;9.834;4.597;16.49
CSVReader;1GB;16.749;9.604;7.145;16.58
BufferReaderWithoutValidation;1GB;14.381;9.857;4.524;17.9
ScannerWithoutValidation;1GB;17.828;10.510;7.318;22.72
FilesLinesWithoutValidation;1GB;14.618;10.485;4.133;17.9
FileReaderWithoutValidation;1GB;15.913;10.379;5.534;18.72
CSVReaderWithoutValidation;1GB;21.374;9.940;11.434;28.35
BufferReaderWithoutValidation;1GB;14.334;10.148;4.186;17.9
BufferReader;1GB;13.009;9.485;3.524;17.49
Scanner;1GB;16.902;9.715;7.187;22.26
FilesLines;1GB;13.531;9.936;3.595;17.45
FileReader;1GB;14.905;10.146;4.759;16.45
CSVReader;1GB;17.475;10.309;7.166;16.58
BufferReaderWithoutValidation;1GB;14.663;10.412;4.251;17.94
ScannerWithoutValidation;1GB;18.122;10.566;7.556;23.49
FilesLinesWithoutValidation;1GB;14.093;9.969;4.124;17.91
FileReaderWithoutValidation;1GB;16.325;10.066;6.259;18.76
CSVReaderWithoutValidation;1GB;21.370;9.968;11.402;28.36

BufferReaderWithoutValidation;2GB;33.002;23.369;9.633;35.86
BufferReader;2GB;30.119;21.646;8.473;34.91
Scanner;2GB;35.721;20.859;14.862;44.63
FilesLines;2GB;30.249;22.056;8.193;34.92
FileReader;2GB;32.789;26.053;6.736;32.91
CSVReader;2GB;35.715;21.496;14.219;33.19
BufferReaderWithoutValidation;2GB;31.300;22.806;8.494;35.86
ScannerWithoutValidation;2GB;38.058;22.292;15.766;45.49
FilesLinesWithoutValidation;2GB;31.494;22.357;9.137;35.95
FileReaderWithoutValidation;2GB;35.874;23.292;12.582;37.58
CSVReaderWithoutValidation;2GB;45.237;22.636;22.601;56.68
BufferReaderWithoutValidation;2GB;33.755;22.476;11.279;35.86
BufferReader;2GB;30.000;22.551;7.449;35.0
Scanner;2GB;35.901;21.617;14.284;44.63
FilesLines;2GB;29.970;21.943;8.027;34.91
FileReader;2GB;31.373;21.811;9.562;32.92
CSVReader;2GB;35.562;20.894;14.668;33.19
BufferReaderWithoutValidation;2GB;30.182;21.988;8.494;35.95
ScannerWithoutValidation;2GB;34.763;20.954;13.809;45.49
FilesLinesWithoutValidation;2GB;29.243;20.725;8.518;35.86
FileReaderWithoutValidation;2GB;31.986;20.553;11.433;37.49
CSVReaderWithoutValidation;2GB;42.678;20.852;22.601;56.69
BufferReaderWithoutValidation;2GB;29.623;22.023;7.600;35.86
BufferReader;2GB;28.804;21.329;7.475;35.0
Scanner;2GB;35.754;21.509;14.245;44.63
FilesLines;2GB;28.624;20.972;7.652;35.0
FileReader;2GB;33.523;21.422;12.101;32.92
CSVReader;2GB;36.544;21.543;15.010;33.19
BufferReaderWithoutValidation;2GB;31.229;22.416;8.813;35.95
ScannerWithoutValidation;2GB;37.375;22.322;15.053;47.02
FilesLinesWithoutValidation;2GB;30.832;22.442;8.390;35.86
FileReaderWithoutValidation;2GB;33.851;21.998;11.853;37.49
CSVReaderWithoutValidation;2GB;47.175;23.375;23.800;56.69

BufferReaderWithoutValidation;5GB;68.898;50.806;18.092;71.6
BufferReader;5GB;62.467;46.501;15.966;69.8
Scanner;5GB;75.239;46.395;28.844;89.05
FilesLines;5GB;58.334;43.542;14.792;69.61
FileReader;5GB;67.639;47.995;19.644;65.8
CSVReader;5GB;77.368;47.730;29.638;66.18
BufferReaderWithoutValidation;5GB;66.349;49.019;17.330;71.79
ScannerWithoutValidation;5GB;80.934;49.891;30.953;90.85
FilesLinesWithoutValidation;5GB;73.516;45.177;28.000;91.04
FileReaderWithoutValidation;5GB;72.635;47.844;24.791;74.79
CSVReaderWithoutValidation;5GB;96.011;48.165;47.846;113.44
BufferReaderWithoutValidation;5GB;60.807;44.956;15.851;71.6
BufferReader;5GB;82.037;44.538;37.499;69.79
Scanner;5GB;72.093;45.661;26.432;89.05
FilesLines;5GB;58.100;43.859;14.241;69.79
FileReader;5GB;61.988;44.433;17.555;65.8
CSVReader;5GB;77.963;48.566;29.397;66.19
BufferReaderWithoutValidation;5GB;61.339;45.615;15.724;71.79
ScannerWithoutValidation;5GB;74.454;45.068;29.386;91.05
FilesLinesWithoutValidation;5GB;68.079;49.483;18.596;71.78
FileReaderWithoutValidation;5GB;73.607;48.513;25.094;74.97
CSVReaderWithoutValidation;5GB;96.366;49.097;47.269;113.43
BufferReaderWithoutValidation;5GB;61.680;44.606;17.074;71.6
BufferReader;5GB;58.255;44.782;13.473;69.61
Scanner;5GB;70.824;44.986;20.885;89.05
FilesLines;5GB;62.524;46.417;16.107;69.79
FileReader;5GB;68.117;47.680;20.437;65.81
CSVReader;5GB;78.386;48.573;29.813;66.17
BufferReaderWithoutValidation;5GB;66.034;48.133;17.901;71.79
ScannerWithoutValidation;5GB;79.415;48.142;31.273;90.85
FilesLinesWithoutValidation;5GB;66.923;47.462;19.461;71.79
FileReaderWithoutValidation;5GB;72.473;47.571;24.902;75.05
CSVReaderWithoutValidation;5GB;96.574;47.809;48.765;113.43
